sessionId,prolificID,timestamp,day,expGroup,attempt,success
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:11.341,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:12.253,1,2,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:14.882,1,2,"food1,food1,food1",1.0
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:15.067,1,3,"food1,food1,food1",1.0
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:16.310,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:17.945,1,2,"food1,food1,food1",1.0
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:19.609,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:20.012,1,2,"food1,food1,food1",1.0
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:21.393,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:22.040,1,2,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:27.813,1,2,"food1,food1,food3",0.0
9gmdrx2d2zgevg9ndu9s,604dcac5272f4771c6fbec10,2022-01-12 10:54:30.540,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:31.337,1,2,"food3,food3,food3",0.0
x9aen5ccca0gr6qqadlp,5887951f5b971900013a03c0,2022-01-12 10:54:32.089,1,3,"food1,food1,food1",1.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:44.365,1,2,"food3,food3,food3",0.0
au3nzp6b812wt0w32fos,55c33cbafdf99b2358302726,2022-01-12 10:54:55.839,1,2,"food1,food1",1.0
873sw96oc0flhuqv9kgk,5a96a0916219a30001d31fbb,2022-01-12 10:54:57.050,1,2,"food1,food1,food1",1.0
o6mr6lgbhvtz8ri628w7,5f41211aecc86b08e8912a4d,2022-01-12 10:55:00.085,1,2,"food1,food1,food1",1.0
